count,year,make,series,type,model,motor
1,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
2,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR
3,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
4,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
5,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
6,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
7,2014,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
8,2014,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
9,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
10,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
11,2014,BMW,X1,SUV  ,xDrive35i ,MOTOR(3.0L 6cyl Turbo 6A)
12,2014,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
13,2014,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
14,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
15,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
16,2014,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
17,2014,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
18,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
19,2014,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
20,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
21,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
22,2014,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
23,2014,BMW,X1,SUV  ,xDrive35i ,MOTOR(3.0L 6cyl Turbo 6A)
24,2014,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
25,2014,BMW,X1,SUV  ,xDrive35i ,MOTOR(3.0L 6cyl Turbo 6A)
26,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
27,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
28,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
29,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
30,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
31,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
32,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
33,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
34,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
35,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
36,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
37,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
38,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
39,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
40,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
41,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
42,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
43,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
44,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
45,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
46,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
47,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
48,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
49,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
50,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
51,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
52,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
53,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
54,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
55,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
56,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
57,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
58,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
59,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
60,2016,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
61,2015,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
62,2015,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
63,2015,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
64,2015,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
65,2015,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
66,2015,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
67,2015,BMW,X1,SUV  ,xDrive35i ,MOTOR(3.0L 6cyl Turbo 6A)
68,2015,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
69,2015,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
70,2015,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
71,2015,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
72,2015,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
73,2015,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
74,2015,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
75,2015,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
76,2015,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
77,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
78,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
79,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
80,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
81,2017,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
82,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
83,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
84,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
85,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
86,2017,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
87,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
88,2017,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
89,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
90,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
91,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
92,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
93,2017,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
94,2017,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
95,2017,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
96,2018,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
97,2018,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
98,2018,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
99,2018,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
100,2013,BMW,X1,SUV  ,xDrive35i ,MOTOR(3.0L 6cyl Turbo 6A)
101,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
102,2013,BMW,X1,SUV  ,xDrive35i ,MOTOR(3.0L 6cyl Turbo 6A)
103,2013,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
104,2013,BMW,X1,SUV  ,xDrive35i ,MOTOR(3.0L 6cyl Turbo 6A)
105,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
106,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
107,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
108,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
109,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
110,2013,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
111,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
112,2013,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
113,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
114,2013,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
115,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
116,2013,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
117,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
118,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
119,2013,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
120,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
121,2013,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
122,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
123,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
124,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
125,2013,BMW,X1,SUV  ,sDrive28i,MOTOR(2.0L 4cyl Turbo 8A)
126,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
127,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
128,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
129,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
130,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
131,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
132,2013,BMW,X1,SUV  ,xDrive35i ,MOTOR(3.0L 6cyl Turbo 6A)
133,2013,BMW,X1,SUV  ,xDrive28i ,MOTOR(2.0L 4cyl Turbo 8A)
134,2010,BMW,ActiveHybrid X6,SUV  ,X6  ,MOTOR(4.4L 8cyl Turbo gas/electric hybrid 7A)
135,2010,BMW,ActiveHybrid X6,SUV  ,X6  ,MOTOR(4.4L 8cyl Turbo gas/electric hybrid 7A)
136,2010,BMW,ActiveHybrid X6,SUV  ,X6  ,MOTOR(4.4L 8cyl Turbo gas/electric hybrid 7A)
137,2014,BMW,3 Series,Sedan  ,335i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
138,2014,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
139,2014,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
140,2014,BMW,3 Series,Sedan  ,335i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
141,2014,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
142,2014,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
143,2014,BMW,3 Series,Sedan  ,335i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
144,2014,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
145,2014,BMW,3 Series,Sedan  ,335i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
146,2014,BMW,3 Series,Sedan  ,335i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
147,2014,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
148,2014,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
