year,make,series,type,model,motor
2001,BMW,3 Series,Wagon,325i,(2.5L 6cyl 5M)
2011,BMW,5 Series,Sedan,550i,(4.4L 8cyl Turbo 6M)
2015,BMW,X3,SUV,xDrive35i,(3.0L 6cyl Turbo 8A)
2012,BMW,Z4,Convertible,sDrive35is,(3.0L 6cyl Turbo 7AM)
2012,BMW,7 Series,Sedan,750i xDrive,(4.4L 8cyl Turbo 6A)
2004,BMW,3 Series,Convertible,330Ci,(3.0L 6cyl 6M)
2012,BMW,7 Series,Sedan,750Li xDrive,(4.4L 8cyl Turbo 6A)
2015,BMW,4 Series,Coupe,428i xDrive,(2.0L 4cyl Turbo 8A)
1999,BMW,5 Series,Wagon,540i,(4.4L 8cyl Turbo 6A)
2007,BMW,6 Series,Coupe,650i,(4.8L 8cyl 6M)
2018,BMW,4 Series,Gran,430i,(2.0L 4cyl Turbo 8A)
2017,BMW,X5,Diesel,xDrive35d,(3.0L 6cyl Turbodiesel 8A)
2006,BMW,3 Series,Wagon,325xi,(3.0L 6cyl 6M)
2013,BMW,5 Series,Sedan,535i xDrive,(3.0L 6cyl Turbo 8A)
2010,BMW,3 Series,Sedan,328i xDrive,(3.0L 6cyl 6M)
2014,BMW,6 Series,Sedan,650i,(4.4L 8cyl Turbo 8A)
2013,BMW,X5,SUV,xDrive50i,(4.4L 8cyl Turbo 8A)
2013,BMW,X6,SUV,xDrive35i,(3.0L 6cyl Turbo 8A)
2005,BMW,5 Series,Sedan,545i,(4.4L 8cyl 6M)
2001,BMW,M5,Sedan,M5,(4.9L 8cyl 6M)
