title,excerpt,date,rating,car_id
BMW quality stands out," I moved up from a 4 cylinder diesel BMW 328 to the 535. While I gave up better mileage on the 4 cylinder, I got more room, window display, and a few more options that make driving a pleasure. I have owned other high quality cars, but the interior trim of the BMW with the rich wood and colors seem to stand out more. It may not hug the road like the 328, but neither did my other larger cars. Diesel engines rock, and if the public is scared off by the VW publicity, shame on them. In the long run, the quality of BMW engines and technology will keep the value of these cars up. I have liked this 2016 BMW 535 so much, I have decided to keep it beyond the two year period I usually trade cars. You can't hear the diesel engine, the cut off does not bother me (there is a switch to cut this feature off if it bothers others) and having driven many other gas and diesel engines, I know how to get above the EPA rated mileage. You get savings both ways with diesel prices going down or if fuel prices go up.....you will have more driving range then a gasoline engine. In the worst case, if we ever had a gas shortage, you can bet diesel fuel will be around. In short, my write up is no substitute for you taking a test drive in this auto and see for yourself.   UPDATE: This review was written in late 2015. My opinion has not changed. It was one of the best buys in automobiles I ever made.May 19, 2017: My review of this car remains unchanged. I had Opti Coat put on it after I bought it and I keep it garaged and personally detail the vehicle to 'show room condition'. My wife and I use it primarily for long trips because it is so comfortable and roomy. If you check reviews today of the vehicle, you will see it is rated as one of the best. Because one car company cheated on diesel engines, it scared the public about diesels for awhile. I also have a 2017 BMW M24i, and a 2016 Prius V. But for comfort and style, you can't beat this car. Have had absoluty no trouble with it. Outside of changing the oil, the dealership put on new wiper blades. I plan on keeping this car a long time.", 11/01/15,5,3466
Great Car," The 740i is an incredible car.  Fun todrive plus has plenty of room both front and back.  Loves to cruise at 80ph+.  Quiet and comfortable ride. ve had some problems, radiator andwnshield wipers, but both were taken caeof on factory warranty.  Dealererie has been courteous and pomt", 11/30/02,5,1858
Love my M Sport 535i," Don't know why Edmunds have only manual 6-speed option for 535i, but this car with auto sport shifter is very responsive and quick. It feels heavy when you start driving but you can't feel the speed unless you look at your speedometer. I like the comfy feel of this car. I like the damper control that you can choose the mode. I don't know why ppl criticize the interior, to me, this interior is far better than Audi's cheap plastic feel interiors. Overall space is good as well and at this point, i can't say anything about reliability since I just got the car for 2 days. I will update of course in the future. ", 05/26/12,4,3440
BMW 335D performance," directly after the expiry of manufacturer's warranty, the turbos failed. They fail unexpectedly so, if I am on the road, the car will suddenly lose turbo power, and, despite engine revs rising, nothing speeds the car over 40 mph. The car has spent more time and I have spent more money in repair shops than I spent on a smaller car I have as well, which runs flawlessly. I had believed that, after having spent a small fortune purchasing this car, I would not need extended warranty, but I was wrong! The help I received from Bavarian was no help at all. I was offered a $1000 discount on my next purchase of a Beamer!  I wanted to have some diagnosis, but all the diagnostics have been steadily repaired and the same problem recurs. I wonder if the car was made to run in cooler weather, as it runs hot and may have caused damage to the diagnostics in the computer, which is the more expensive one to replace", 09/16/16,1,6283
Finally a diesel that matches a gas engine," Got this 3 serie wagon in the fall and have driven about 1,800 miles. The car performs flawlessly. It's fun to drive, taunt and the interior execution is fantastic. At the end of the week I can't help but smile when I realise I get a combined 35 mpg on a week of driving. This little machine will outperform 90% of V6 engines out there (although 0-60 is still a bit slow for my taste).", 01/02/14,4,4455
Plenty of power and plenty of fun.," I recently bought a loaded, low-mileage, certified pre-owned 2014 X3 with the 4 cylinder turbo engine.   I was concerned that the 4 cylinder engine would be short on performance.  But, that is not the case at all.   The car gets up and goes, especially when it's in Sport mode.  You don't need the bigger 6 cylinder engine to have fun in this vehicle.   I have taken my X3 up into the mountains along with 2 passengers and luggage.  It went up the mountain without breaking a sweat.  The turbo powered engine along with the 8-speed transmission works flawlessly and always keeps the X3 it's toes.   Plus, the handling is amazing.   I have owned some sporty coupes over the years, and this X3 feels just as sporty as any on them.   I love it!", 04/14/16,5,2462
Great Car nut's machine, If you enjoy long road trips and driving on twisty mountain roads this is the car for you !  I now have 70000 miles on the car and I love this car more than the day I bought it.  I have had one ignition coil failure since I bought the car and no other problems what so ever.  Car is just as tight and precise handling as the day I bought it.  I plan on driving to 100000 miles and will most likely buy another BMW.  It absolutely is the ultimate driving machine!  By the way I am not a BMW employee!!, 11/08/16,5,6362
Very disappointed," In 10 months had to go to the dealer about 10 times. The engine on light was malfunctioning, then the tires wore out badly, tires cost about $2000, after a year, thats a joke. I had sebring convertible,put same mileage on it, had no problems. BMW is unreliable to me. It is otherwise nice looking car, fun to drive.", 11/14/10,5,6337
"Fun car, fear costly maintenance down the road"," The 335i was a super fun car to drive.   Although the 2011 got the slightly less tunable/powerful N55, it still had lots of grunt, even before mods.  I loved the power, sound, and capability of the car. The 6MT was superb, and track time was great. Interior and exterior were well appointed.  Having previously owned a G35S and thinking that the German cars were just too costly, I was very pleased to learn that the driving experience was much much better in the Bimmer. I was concerned with the cost of maintenance after warranty so I sold it to get a larger car for kids.  I will own another 3 series (sedan) at some point.  Costly.  Took a bath on the sale price.  ugh.", 10/07/14,4,6376
"Sport, yet refined"," Went from a Honda civic, so naturally am impressed with the handling of this well made auto. It has plenty of power, with excellent cornering and braking. Everyone in the family says it makes me look younger!", 09/04/09,5,1471
Smooth coupe, Small but sporty, 10/04/16,5,2401
